team_id,cbs_name,kenpom_rank,adj_em,adj_o,adj_d,as_of_date,source,schema_version
Tennessee Martin,Tennessee St.,248,-6.66,98.26594141574515,104.92575427730713,2026-03-04,barttorvik,1.0
Colgate,Colgate,249,-7.27,107.19706882333381,114.46504553919354,2026-03-04,barttorvik,1.0
SIU Edwardsville,Evansville,250,-6.75,98.79436668589248,105.54201028751427,2026-03-04,barttorvik,1.0
Southern Utah,Southern U.,251,-7.35,106.11326254252364,113.46631611422185,2026-03-04,barttorvik,1.0
Southern,Southern U.,252,-7.3,105.04741576362832,112.3433450423274,2026-03-04,barttorvik,1.0
Pepperdine,Pepperdine,253,-7.4,105.56670030467029,112.96940642157296,2026-03-04,barttorvik,1.0
East Carolina,East Carolina,254,-7.34,103.22961799903894,110.56600886254229,2026-03-04,barttorvik,1.0
Elon,Elon,255,-7.82,109.21551888676541,117.03108379167065,2026-03-04,barttorvik,1.0
Charleston Southern,Charleston So.,256,-7.62,104.89931607874063,112.51659791353181,2026-03-04,barttorvik,1.0
Dartmouth,Dartmouth,257,-7.64,104.83265174684578,112.4742380103732,2026-03-04,barttorvik,1.0
UC Riverside,UC Riverside,258,-7.57,102.64888999956395,110.22085031689898,2026-03-04,barttorvik,1.0
Florida Gulf Coast,Florida St.,259,-7.83,105.69193608228815,113.51962525276691,2026-03-04,barttorvik,1.0
Long Beach St.,,260,-7.74,104.33062255538627,112.07261401113043,2026-03-04,barttorvik,1.0
Sacramento St.,Sacramento St.,261,-7.97,107.1785082612057,115.14863907318835,2026-03-04,barttorvik,1.0
Georgia Southern,Ga. Southern,262,-8.08,107.30465450233721,115.38099928536008,2026-03-04,barttorvik,1.0
Fairfield,Fairfield,263,-8.08,106.46325789554439,114.54288917518139,2026-03-04,barttorvik,1.0
Vermont,Vermont,264,-8.02,105.17443485136315,113.19655143987985,2026-03-04,barttorvik,1.0
Wofford,Wofford,265,-8.38,109.1542786911593,117.52965471385781,2026-03-04,barttorvik,1.0
UNC Asheville,Louisville,266,-7.98,103.63711719067123,111.61867929414356,2026-03-04,barttorvik,1.0
Purdue Fort Wayne,,267,-8.21,104.9904162441771,113.19891578807534,2026-03-04,barttorvik,1.0
